log_id,equipment_id,equipment_tag,date,alarm_code,severity,technician_notes,action_taken,downtime_hours,resolved
LOG-0127,Motor-2,M-202,2026-06-08,WIND_TEMP_01,Warning,Responded to alarm on Motor-2 (M-202). Winding RTD on one phase reading high relative to the other two.,"Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0128,Pump-1,P-101,2026-06-09,SEAL_FAIL_03,Critical,"Seal chamber moisture sensor active, slow weep at the drain. Checked it out, seems consistent with what we've seen before.","Unit remained tripped pending parts, isolated and tagged out.",0.0,yes
LOG-0129,Pump-1,P-101,2026-06-10,CAV_DET_08,Warning,"Cavitation noise audible at the pump, suction strainer DP elevated. Checked it out, seems consistent with what we've seen before.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0130,Motor-2,M-202,2026-06-11,LUBE_LOW_08,Warning,"Per procedure, confirmed grease level low, no leak found at the housing seals before taking action.","Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0131,Pump-3,P-103,2026-06-13,VIB_HIGH_04,Warning,Vibration reading climbed on the DE housing. Ops was notified.,"Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0132,Compressor-1,C-301,2026-06-13,CONDENSATE_FAULT_16,Warning,"Responded to alarm on Compressor-1 (C-301). Automatic condensate drain not cycling, valve found stuck.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0133,Compressor-2,C-302,2026-06-13,DISCH_TEMP_01,Critical,"Discharge air temp climbing, oil cooler fins found dusty -- will keep an eye on it next shift.","Unit tripped, isolated and inspected before restart, no binding found, returned to service.",1.6,yes
LOG-0134,Motor-1,M-201,2026-06-14,LUBE_LOW_08,Warning,"M-201: grease level low, no leak found at the housing seals.","Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0135,Pump-1,P-101,2026-06-15,SEAL_FAIL_03,Critical,"Steady drip from the seal weep hole, flush flow looked low at the sight glass. Nothing else abnormal noted during walkdown.","Unit tripped, replaced faulty component, restarted and verified normal readings.",4.2,yes
LOG-0136,Compressor-1,C-301,2026-06-16,STARTS_EXCEED_19,Warning,"Responded to alarm on Compressor-1 (C-301). Starts-per-hour limit reached, restart inhibited by controller.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0137,Motor-1,M-201,2026-06-17,ESTOP_ACT_18,Safety,"Alarm came in, went and looked. E-stop activated during scheduled work nearby.","Investigated E-stop cause, work area secured, interlock reset and unit restarted per procedure.",1.6,yes
LOG-0138,Motor-1,M-201,2026-06-17,ESTOP_ACT_18,Safety,M-201: E-stop activated during scheduled work nearby.,"Investigated E-stop cause, work area secured, interlock reset and unit restarted per procedure.",1.5,yes
LOG-0139,Pump-3,P-103,2026-06-18,SUCT_STRAIN_15,Warning,"P-103: suction strainer DP climbing, due for a clean per the schedule.","Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0140,Pump-3,P-103,2026-06-20,MOTOR_OVLD_09,Critical,"Overcurrent trip, shaft rotated freely by hand after isolation. Nothing else abnormal noted during walkdown.","Unit stopped manually per procedure, corrective work performed, returned to service.",8.6,yes
LOG-0141,Compressor-1,C-301,2026-06-23,AFTERCOOLER_FOUL_10,Warning,"Checked sister unit Compressor-2 for the same approach-temp rise since both share the same cooling air envelope -- C-302 was reading normal, so treating this as fouling on C-301 specifically rather than an ambient effect.","Flagged for next planned outage, unit left in service.",0.0,yes
LOG-0142,Pump-1,P-101,2026-06-27,PRESS_HIGH_07,Warning,"Responded to alarm on Pump-1 (P-101). Discharge pressure reading high, downstream valve found throttled.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0143,Pump-1,P-101,2026-06-29,SPEED_DEV_18,Warning,P-101: commanded vs actual speed deviation flagged briefly during a ramp.,"Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,yes
LOG-0144,Pump-2,P-102,2026-06-30,PRESS_HIGH_07,Warning,"P-102: discharge pressure reading high, downstream valve found throttled.","Cleaned/replaced affected component, confirmed alarm cleared.",0.0,yes
LOG-0145,Pump-3,P-103,2026-07-01,ESTOP_ACT_19,Safety,P-103: local E-stop pushbutton was activated during nearby work.,"Investigated E-stop cause, work area secured, interlock reset and unit restarted per procedure.",2.7,yes
LOG-0146,Pump-1,P-101,2026-07-02,PRESS_HIGH_07,Warning,"Discharge pressure reading high, downstream valve found throttled. Nothing else abnormal noted during walkdown.",Adjusted setpoint/valve and confirmed reading returned to normal band.,0.0,yes
LOG-0147,Pump-3,P-103,2026-07-03,PRESS_HIGH_07,Warning,Pump-3 was mid exercise-run when this came in; cross-checked against Pump-1/Pump-2 duty readings since role rotation makes standby comparisons tricky.,"Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0148,Pump-2,P-102,2026-07-04,VFD_FAULT_12,Critical,"Alarm came in, went and looked. VFD dropped Modbus comms, local fault light was on at the drive.","Unit tripped, root cause corrected, restarted and confirmed stable for 30 min.",6.1,yes
LOG-0149,Pump-3,P-103,2026-07-07,VIB_HIGH_04,Warning,Responded to alarm on Pump-3 (P-103). Vibration reading climbed on the DE housing.,Cleared alarm after visual inspection found no active concern.,0.0,yes
LOG-0150,Pump-3,P-103,2026-07-07,TEMP_HIGH_01,Warning,"P-103: bearing housing running warm to the touch, DE RTD reading elevated.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0151,Pump-3,P-103,2026-07-07,TEMP_HIGH_02,Critical,"Alarm came in, went and looked. Winding thermistor tripped on phase B.","Unit tripped, replaced faulty component, restarted and verified normal readings.",7.7,yes
LOG-0152,Pump-1,P-101,2026-07-09,SEAL_FAIL_03,Critical,"Steady drip from the seal weep hole, flush flow looked low at the sight glass. Checked it out, seems consistent with what we've seen before.","Unit remained tripped pending parts, isolated and tagged out.",7.6,yes
LOG-0153,Motor-2,M-202,2026-07-09,SENSOR_FAIL_10,Warning,"Vibration sensor signal out of range, likely a damaged cable -- will keep an eye on it next shift.",Cleared alarm after visual inspection found no active concern.,0.0,yes
LOG-0154,Compressor-1,C-301,2026-07-09,CONDENSATE_FAULT_16,Warning,"Automatic condensate drain not cycling, valve found stuck. Nothing else abnormal noted during walkdown.",Cleared alarm after visual inspection found no active concern.,0.0,yes
LOG-0155,Compressor-2,C-302,2026-07-11,DISCH_TEMP_01,Warning,"Discharge air temp climbing, oil cooler fins found dusty -- will keep an eye on it next shift.","Inspected unit, condition noted, scheduled follow-up at next PM.",0.0,yes
LOG-0156,Motor-1,M-201,2026-07-11,MISALIGN_15,Warning,"Per procedure, confirmed 1x/2x vibration signature consistent with alignment drift before taking action.","Logged reading, no immediate action required, will monitor trend.",0.0,yes
LOG-0157,Pump-2,P-102,2026-07-11,TEMP_HIGH_02,Critical,"Winding thermistor tripped on phase B. Checked it out, seems consistent with what we've seen before.","Unit tripped, isolated and inspected before restart, no binding found, returned to service.",6.8,yes
LOG-0158,Compressor-1,C-301,2026-07-14,MOTOR_OVLD_12,Critical,"Overcurrent trip on the drive motor during a demand ramp, local fault light active at the VFD. Insulation resistance check pending before restart.","Unit tripped and isolated per procedure; root cause investigation in progress, parts on order.",6.4,no
